#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000002.1	148878	150110	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000047.1	9377	10522	-	blaCMY-2_1	1-1146/1146	===============	0/0	100.00	100.00	resfinder	X91840	blaCMY-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000074.1	495	1307	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000074.1	5620	6486	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000074.1	6964	7765	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000074.1	8163	8660	-	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000076.1	3175	4035	-	blaTEM-166_1	1-861/861	===============	0/0	100.00	100.00	resfinder	FJ197316	blaTEM-166	
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000083.1	1712	2958	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000088.1	3114	4044	-	mph(A)_2	1-921/921	========/======	2/10	100.00	98.71	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000122.1	1054	1551	+	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000122.1	1949	2750	+	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000122.1	3228	4094	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000122.1	8407	9219	-	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000123.1	1708	2853	+	blaCMY-2_1	1-1146/1146	===============	0/0	100.00	100.00	resfinder	X91840	blaCMY-2	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000124.1	4088	4948	+	blaTEM-166_1	1-861/861	===============	0/0	100.00	100.00	resfinder	FJ197316	blaTEM-166	
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000125.1	2047	3293	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722365.1_PDT001515026.1_genomic.fna	DAKRYG010000126.1	109	1039	+	mph(A)_2	1-921/921	========/======	2/10	100.00	98.71	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
