#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000001.1	148932	150164	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000036.1	5009	6222	+	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000036.1	6823	8097	-	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000036.1	9358	10194	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000036.1	10194	10997	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000036.1	11058	11873	-	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000036.1	32248	33123	-	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000037.1	2187	2999	-	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000065.1	124	984	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000065.1	1154	1909	+	rmtB_1	1-756/756	===============	0/0	100.00	100.00	resfinder	AB103506	rmtB	Amikacin;Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000065.1	5363	6898	+	qepA1_1	1-1536/1536	===============	0/0	100.00	100.00	resfinder	AB263754	qepA1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000068.1	1043	1903	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000071.1	1	834	-	sul1_5	1-834/867	===============	0/0	96.19	99.88	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000071.1	1354	2142	-	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000071.1	2273	2746	-	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000107.1	10005	10820	+	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000107.1	10881	11684	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000107.1	11684	12520	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000107.1	13781	15055	+	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000107.1	15656	16869	-	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000110.1	297	1832	-	qepA1_1	1-1536/1536	===============	0/0	100.00	100.00	resfinder	AB263754	qepA1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000110.1	5286	6041	-	rmtB_1	1-756/756	===============	0/0	100.00	100.00	resfinder	AB103506	rmtB	Amikacin;Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000110.1	6211	7071	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000111.1	2509	3321	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000112.1	1084	1944	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000113.1	1789	2664	+	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000114.1	60	533	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000114.1	664	1452	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722285.1_PDT001515030.1_genomic.fna	DAKRYD010000114.1	1972	2812	+	sul1_5	1-841/867	===============	0/0	97.00	99.76	resfinder	EU780013	sul1	Sulfamethoxazole
