#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000011.1	99633	100865	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000066.1	901	1374	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000066.1	1505	2293	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000066.1	2813	3679	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000066.1	8974	9895	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000072.1	1435	2681	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000072.1	3660	4496	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000072.1	4496	5299	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000072.1	5360	6175	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000076.1	2314	3189	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000094.1	1696	2556	-	aac(3)-IIa_1	1-861/861	===============	0/0	100.00	99.77	resfinder	X51534	aac(3)-IIa	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000099.1	386	1216	-	blaOXA-1_1	1-831/831	===============	0/0	100.00	99.88	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000099.1	1347	1946	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_017040665.1_PDT000954093.1_genomic.fna	DADHWN010000106.1	833	1693	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
