#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000026.1	28485	29717	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.78	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000028.1	19165	19647	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000047.1	2679	3539	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000047.1	4260	5096	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000047.1	5096	5899	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000047.1	5960	6775	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000058.1	122	997	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000060.1	664	1320	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000078.1	3577	4392	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000078.1	4453	5256	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000078.1	5256	6092	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000080.1	2720	3580	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000081.1	143	1018	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000082.1	2341	2823	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_045008005.1_PDT002053804.1_genomic.fna	DBBUYY010000083.1	402	1058	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
