#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000001.1	7023	7691	-	pmrA	1-669/669	===============	0/0	100.00	81.17	vfdb	NP_463157	(pmrA) response regulator PmrA [PmrAB (VF1355) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000002.1	25638	26129	+	hcp2	1-492/492	===============	0/0	100.00	84.35	vfdb	WP_032643420	(hcp2) type VI secretion system protein Hcp [T6SS-2 (VF1396) - Effector delivery system (VFC0086)] [Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	70448	70713	-	fliQ	1-266/270	===============	0/0	98.52	82.33	vfdb	WP_008500315	(fliQ) flagellar biosynthesis protein FliQ [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	70727	71400	-	fliP	61-734/738	.=======/======	2/4	91.06	82.54	vfdb	WP_013097738	(fliP) flagellar type III secretion system pore protein FliP [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	71829	72241	-	fliN	1-413/414	===============	0/0	99.76	84.50	vfdb	WP_008500318	(fliN) flagellar motor switch protein FliN [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	72238	73242	-	fliM	1-1005/1005	===============	0/0	100.00	84.58	vfdb	WP_013097736	(fliM) flagellar motor switch protein FliM [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	75414	76775	-	fliI	1-1362/1371	========/======	4/4	99.20	82.19	vfdb	WP_013097732	(fliI) flagellar protein export ATPase FliI [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	77456	78449	-	fliG	1-997/999	========/======	3/5	99.40	86.67	vfdb	WP_008500327	(fliG) flagellar motor switch protein FliG [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	80321	80629	+	fliE	4-315/315	========/======	1/3	98.10	82.05	vfdb	WP_013097729	(fliE) flagellar hook-basal body complex protein FliE [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/home/chijioke/OHG_project/assembled_genome/GCA_029946355.1_ASM2994635v1_genomic.fna	JAOQIX010000004.1	141073	141651	+	flhC	1-579/579	========/======	2/2	99.83	82.07	vfdb	WP_013096051	(flhC) flagellar transcriptional regulator FlhC [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
