#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000002.1	77923	79155	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.43	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000094.1	6131	7377	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000094.1	9292	10128	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000094.1	10128	10931	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000094.1	10992	11807	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000128.1	765	1421	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000128.1	6062	6937	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000155.1	182	664	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.38	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000199.1	307	1122	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000199.1	1183	1986	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000199.1	1986	2822	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000199.1	4737	5983	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000200.1	177	1052	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000200.1	5693	6349	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_042849635.1_PDT002053844.1_genomic.fna	DAXQFW010000203.1	1921	2403	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.38	resfinder	DQ388123	dfrA14	Trimethoprim
