#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000011.1	66904	68136	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000075.1	843	2762	+	tet(M)_8	1-1920/1920	===============	0/0	100.00	96.15	resfinder	X04388	tet(M)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000075.1	4690	5491	-	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000075.1	5574	6833	-	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000075.1	7095	7896	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000075.1	8294	8791	-	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000082.1	896	2109	+	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000082.1	2710	3984	-	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000082.1	5245	6081	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000082.1	6081	6884	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000083.1	1203	2408	-	tet(B)_2	1-1206/1206	===============	0/0	100.00	100.00	resfinder	AF326777	tet(B)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000098.1	3148	4069	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000109.1	162	974	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000110.1	234	1025	-	sul3_2	1-792/792	===============	0/0	100.00	99.87	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000117.1	1458	2252	+	aph(3')-IIa_2	1-795/795	===============	0/0	100.00	100.00	resfinder	V00618	aph(3')-IIa	
/home/chijioke/OHG_project/assembled_genome/GCA_026722245.1_PDT001515033.1_genomic.fna	DAKRYB010000118.1	320	736	+	fosA3_1	1-417/417	===============	0/0	100.00	100.00	resfinder	AB522970	fosA3	Fosfomycin
