#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000002.1	148878	150110	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000060.1	116	1261	+	blaCMY-42_1	1-1146/1146	===============	0/0	100.00	100.00	resfinder	HM146927	blaCMY-42	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000073.1	493	1305	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000073.1	5618	6484	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000073.1	6962	7763	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000073.1	8161	8658	-	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000089.1	1712	2958	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000103.1	265	1028	+	erm(B)_18	1-762/762	========/======	2/2	100.00	98.82	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000106.1	320	736	+	fosA3_1	1-417/417	===============	0/0	100.00	100.00	resfinder	AB522970	fosA3	Fosfomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000110.1	366	1241	+	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000124.1	146	901	+	rmtB_1	1-756/756	===============	0/0	100.00	100.00	resfinder	AB103506	rmtB	Amikacin;Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722325.1_PDT001515031.1_genomic.fna	DAKRYC010000125.1	1	882	+	mph(A)_1	25-906/906	===============	0/0	97.35	100.00	resfinder	D16251	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
