#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000003.1	77847	79079	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.35	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000037.1	30555	31211	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000037.1	35852	36727	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000037.1	39549	40409	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000037.1	41130	41966	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000037.1	41966	42769	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000037.1	42830	43645	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000125.1	1476	2722	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000183.1	2110	2925	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000183.1	2986	3789	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000184.1	1020	2266	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000185.1	1020	2266	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000186.1	1621	2496	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000187.1	1	705	+	aph(3'')-Ib_5	100-804/804	.==============	0/0	87.69	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000187.1	705	1541	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000188.1	418	1278	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_045007885.1_PDT002053843.1_genomic.fna	DBBUYS010000189.1	597	1253	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
