#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000009.1	22639	23871	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000093.1	2068	2541	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000093.1	2672	3460	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000093.1	3980	4846	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000093.1	10141	11062	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000121.1	1629	2504	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	99.89	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000125.1	1712	2958	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000218.1	45	644	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000239.1	2017	2490	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000239.1	2621	3409	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000239.1	3929	4795	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000239.1	10090	11011	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000241.1	1630	2505	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	99.89	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000242.1	2007	3253	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_012279615.1_PDT000280666.2_genomic.fna	AASCJB010000243.1	46	645	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
