#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000007.1	28611	29843	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000058.1	2026	2892	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000058.1	3370	4171	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000058.1	4569	5066	-	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000074.1	842	1657	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000078.1	388	1263	+	blaCTX-M-14_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF252622	blaCTX-M-14	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000093.1	247	744	+	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000093.1	1142	1943	+	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000094.1	247	744	+	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000094.1	1142	1943	+	aadA2_1	18-819/819	===============	0/0	97.92	99.75	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000095.1	493	1359	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000097.1	429	1304	+	blaCTX-M-14_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF252622	blaCTX-M-14	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042846515.1_PDT002053796.1_genomic.fna	DAXQDZ010000099.1	65	880	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
