#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000011.1	5278	6510	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000053.1	11694	12350	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000053.1	16991	17866	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000053.1	20688	21548	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000053.1	22269	23105	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000053.1	23105	23908	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000053.1	23969	24784	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000105.1	1676	2922	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000120.1	182	664	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000169.1	1455	2111	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000170.1	280	1155	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000171.1	1017	2263	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000172.1	463	1278	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000172.1	1339	2142	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000172.1	2142	2978	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000173.1	1203	2063	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042846555.1_PDT002053785.1_genomic.fna	DAXQDY010000174.1	1193	1675	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
