#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000001.1	243812	244806	+	flk	1-995/996	===============	0/0	99.90	98.19	ecoli_vf	gi:15802868	flagella biosynthesis regulator	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	25844	26632	+	ycfz	1-789/789	===============	0/0	100.00	98.35	ecoli_vf	SPG000092	putative factor	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	66138	67091	-	flgL	1-954/954	===============	0/0	100.00	96.65	ecoli_vf	gi:15801200	flagellar hook-associated protein FlgL	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	67103	68746	-	flgK	1-1644/1644	===============	0/0	100.00	97.99	ecoli_vf	gi:15801199	flagellar hook-associated protein FlgK	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	68812	69753	-	flgJ	1-942/942	===============	0/0	100.00	98.30	ecoli_vf	gi:15801198	flagellar rod assembly protein/muramidase FlgJ	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	69753	70850	-	flgI	1-1098/1098	===============	0/0	100.00	96.45	ecoli_vf	gi:15801197	flagellar basal body P-ring protein	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	70862	71560	-	flgH	1-699/699	===============	0/0	100.00	98.43	ecoli_vf	gi:15801196	flagellar basal body L-ring protein	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	71614	72396	-	flgG	1-783/783	===============	0/0	100.00	97.96	ecoli_vf	gi:15801195	flagellar basal body rod protein FlgG	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	72568	73323	-	flgF	1-756/756	===============	0/0	100.00	97.75	ecoli_vf	gi:15801194	flagellar basal body rod protein FlgF	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	73343	74548	-	flgE	1-1206/1206	===============	0/0	100.00	97.51	ecoli_vf	gi:15801193	flagellar hook protein FlgE	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	74573	75268	-	flgD	1-696/696	===============	0/0	100.00	96.55	ecoli_vf	gi:15801192	flagellar basal body rod modification protein	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	75280	75684	-	flgC	1-405/405	===============	0/0	100.00	98.27	ecoli_vf	gi:15801191	flagellar basal body rod protein FlgC	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	75688	76104	-	flgB	1-417/417	===============	0/0	100.00	99.04	ecoli_vf	gi:15801190	flagellar basal body rod protein FlgB	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	76259	76918	+	flgA	1-660/660	===============	0/0	100.00	96.82	ecoli_vf	gi:15801189	flagellar basal body P-ring biosynthesis protein FlgA	
/home/chijioke/OHG_project/assembled_genome/GCA_017040655.1_PDT000954091.1_genomic.fna	DADHWM010000002.1	77292	77708	+	flgN	1-417/417	===============	0/0	100.00	98.56	ecoli_vf	gi:15801187	flagella synthesis protein FlgN	
