#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000004.1	8466	9698	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.86	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000008.1	92321	93124	-	lnu(G)_1	1-804/804	===============	0/0	100.00	99.88	resfinder	KX470419	lnu(G)	Lincomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000048.1	24732	25547	+	aph(3')-Ia_3	1-816/816	===============	0/0	100.00	99.88	resfinder	EF015636	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000083.1	1724	2515	-	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000096.1	1102	2253	+	tet(X)_1	16-1167/1167	===============	0/0	98.71	95.31	resfinder	GU014535	tet(X)	Doxycycline;Tetracycline;Minocycline;Tigecycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000102.1	737	1393	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000121.1	182	664	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000146.1	17048	17851	+	lnu(G)_1	1-804/804	===============	0/0	100.00	99.88	resfinder	KX470419	lnu(G)	Lincomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000149.1	148	963	+	aph(3')-Ia_3	1-816/816	===============	0/0	100.00	99.88	resfinder	EF015636	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000150.1	2059	2850	+	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000151.1	574	1820	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000152.1	574	1820	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000153.1	574	1820	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000154.1	1142	2293	+	tet(X)_1	16-1167/1167	===============	0/0	98.71	95.31	resfinder	GU014535	tet(X)	Doxycycline;Tetracycline;Minocycline;Tigecycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000155.1	917	2130	+	floR_2	1-1214/1215	===============	0/0	99.92	98.11	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000156.1	917	2130	+	floR_2	1-1214/1215	===============	0/0	99.92	98.11	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000157.1	1191	1992	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.88	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295705.1_PDT001018834.1_genomic.fna	DAEAXF010000158.1	1191	1992	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.88	resfinder	X02340	ant(3'')-Ia	Streptomycin
