#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000001.1	151479	152711	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000044.1	5010	6223	+	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000044.1	6824	8098	-	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000044.1	9359	10195	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000044.1	10195	10998	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000044.1	11059	11874	-	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000065.1	838	1311	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000065.1	1442	2230	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000065.1	2750	3616	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000065.1	8911	9832	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000089.1	263	1026	+	erm(B)_18	1-762/762	========/======	2/2	100.00	98.95	resfinder	X66468	erm(B)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000090.1	435	1580	+	blaCMY-42_1	1-1146/1146	===============	0/0	100.00	100.00	resfinder	HM146927	blaCMY-42	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000092.1	2707	3567	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000096.1	162	974	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000169.1	13925	14740	+	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000169.1	14801	15604	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000169.1	15604	16440	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000169.1	17701	18975	+	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722225.1_PDT001515032.1_genomic.fna	DAKRYE010000169.1	19576	20789	-	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
