#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000011.1	13748	14980	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.46	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000067.1	13968	14828	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000069.1	2649	3464	-	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000080.1	4912	5725	-	aph(3')-Ia_1	1-814/816	===============	0/0	99.75	99.75	resfinder	V00359	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000080.1	5943	6779	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000080.1	6779	7582	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	99.88	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000091.1	1203	2408	-	tet(B)_2	1-1206/1206	===============	0/0	100.00	100.00	resfinder	AF326777	tet(B)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000137.1	102	962	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000163.1	15344	16159	+	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000165.1	3769	4572	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	99.88	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000165.1	4572	5408	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000165.1	5626	6439	+	aph(3')-Ia_1	1-814/816	===============	0/0	99.75	99.75	resfinder	V00359	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000166.1	4115	5320	+	tet(B)_2	1-1206/1206	===============	0/0	100.00	100.00	resfinder	AF326777	tet(B)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000167.1	4795	5655	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_037414035.1_PDT000314214.3_genomic.fna	ABQUJL010000168.1	75	935	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
