#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000003.1	26027	27259	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.84	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000039.1	30716	31962	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000046.1	7706	8362	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000046.1	13003	13878	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000061.1	635	1495	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000069.1	180	662	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000070.1	105	965	+	aac(3)-IIa_1	1-861/861	===============	0/0	100.00	100.00	resfinder	X51534	aac(3)-IIa	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000088.1	575	1821	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000089.1	575	1821	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000091.1	784	1440	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000092.1	1118	1978	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000093.1	177	1052	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000094.1	84	944	+	aac(3)-IIa_1	1-861/861	===============	0/0	100.00	100.00	resfinder	X51534	aac(3)-IIa	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_042860135.1_PDT002053837.1_genomic.fna	DAXQSS010000095.1	63	545	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
