#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000009.1	99667	100899	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000064.1	1487	1960	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000064.1	2091	2879	+	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000064.1	3399	4265	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000064.1	9560	10481	-	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000079.1	543	1418	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000087.1	577	1407	-	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000087.1	1538	2137	-	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000133.1	109	1030	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000133.1	6325	7191	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000133.1	7711	8499	-	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000133.1	8630	9103	-	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000134.1	584	1459	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000135.1	85	684	+	aac(6')-Ib-cr_1	1-600/600	===============	0/0	100.00	100.00	resfinder	DQ303918	aac(6')-Ib-cr	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_017039905.1_PDT000954094.1_genomic.fna	DADHWF010000135.1	815	1645	+	blaOXA-1_1	1-831/831	===============	0/0	100.00	100.00	resfinder	HQ170510	blaOXA-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
