#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	21885	23177	-	espX5	1-1293/1293	===============	0/0	100.00	100.00	ecoli_vf	gi:15804658	Type III secretion system effector EspX5	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	97888	100063	-	cadA	1-2176/2176	===============	0/0	100.00	99.31	ecoli_vf	SPG000027	gb|AY319765.1|:1081-3256 Escherichia coli cadBA operon partial sequence	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	284244	284846	+	fimB	1-603/603	===============	0/0	100.00	100.00	ecoli_vf	gi:15804887	recombinase involved in phase variation; regulator for fimA	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	285324	285920	+	fimE	1-597/597	===============	0/0	100.00	100.00	ecoli_vf	gi:15804888	recombinase involved in phase variation; regulator for fimA	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	286385	286933	+	fimA	1-549/549	===============	0/0	100.00	100.00	ecoli_vf	gi:209396019	type-1 fimbrial protein-like protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	286890	287537	+	fimI	1-648/648	===============	0/0	100.00	100.00	ecoli_vf	gi:15834528	FimI	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	287574	288299	+	fimC	1-726/726	===============	0/0	100.00	100.00	ecoli_vf	gi:15804891	periplasmic chaperone required for type 1 fimbriae	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	288366	291002	+	fimD	1-2637/2637	===============	0/0	100.00	99.96	ecoli_vf	gi:15834530	FimD	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	291012	291542	+	fimF	1-531/531	===============	0/0	100.00	99.81	ecoli_vf	gi:15804893	fimbrial morphology	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	291555	292058	+	fimG	1-504/504	===============	0/0	100.00	100.00	ecoli_vf	gi:15804894	fimbrial morphology	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	292078	292980	+	fimH	1-903/903	===============	0/0	100.00	100.00	ecoli_vf	gi:291285701	adhesin	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	312644	314830	-	espX6	1-2184/2184	========/======	2/15	99.73	99.22	ecoli_vf	gi:209399931	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	410139	411560	-	espX1	1-1422/1422	===============	0/0	100.00	99.86	ecoli_vf	gi:15799704	Type III secretion system effector EspX1	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	450254	450991	+	espY1	1-738/738	===============	0/0	100.00	100.00	ecoli_vf	gi:254791195	non-LEE-encoded type III effector	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	467461	468030	+	espY2	1-570/570	===============	0/0	100.00	100.00	ecoli_vf	gi:15799753	Type III secretion system effector EspY2	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	505801	507003	-	hofC	1-1203/1203	===============	0/0	100.00	100.00	ecoli_vf	gi:15799790	type IV pilin biogenesis protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	506993	508378	-	hofB	1-1386/1386	===============	0/0	100.00	99.93	ecoli_vf	gi:15799791	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000001.1	508388	508828	-	ppdD	1-441/441	===============	0/0	100.00	100.00	ecoli_vf	gi:15799792	putative major pilin subunit	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000002.1	221577	222572	+	flk	1-996/996	===============	0/0	100.00	100.00	ecoli_vf	gi:15802868	flagella biosynthesis regulator	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	16992	17972	+	yggr	1-981/981	===============	0/0	100.00	99.90	ecoli_vf	SPG000074	Retraction ATPase Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	118200	118379	+	pkgA	1-180/180	===============	0/0	100.00	100.00	ecoli_vf	gi:15832989	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	118725	119474	+	eivF	1-750/750	===============	0/0	100.00	99.87	ecoli_vf	gi:15832988	EivF	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	119471	121174	+	eivG	1-1704/1704	===============	0/0	100.00	100.00	ecoli_vf	gi:15832987	EivG	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	121179	122336	+	eivE	1-1146/1146	========/======	1/12	100.00	98.96	ecoli_vf	gi:15832986	EivE	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	122329	124389	+	eivA	1-2061/2061	===============	0/0	100.00	100.00	ecoli_vf	gi:15832985	EivA	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	124394	125713	+	eivC	1-1320/1320	===============	0/0	100.00	100.00	ecoli_vf	gi:15832984	ATP synthase SpaL	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	125826	126161	+	eivI	1-336/336	===============	0/0	100.00	100.00	ecoli_vf	gi:15832983	EivI	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	126139	126372	+	ECs3728	1-234/234	===============	0/0	100.00	100.00	ecoli_vf	gi:15832982	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	126397	127014	+	eivJ	1-618/618	===============	0/0	100.00	100.00	ecoli_vf	gi:15832981	EivJ	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	126974	127960	+	epaO	1-987/987	===============	0/0	100.00	99.90	ecoli_vf	gi:15832980	surface presentation of antigens protein SpaO	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	127950	128615	+	epaP	1-666/666	===============	0/0	100.00	100.00	ecoli_vf	gi:15832979	surface presentation of antigens protein SpaP	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	128626	128886	+	epaQ	1-261/261	===============	0/0	100.00	100.00	ecoli_vf	gi:15832978	EpaQ	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	128873	129340	+	epaR	1-468/468	===============	0/0	100.00	100.00	ecoli_vf	VFG042210	-	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	129664	130785	+	epaS	1-1122/1122	===============	0/0	100.00	99.91	ecoli_vf	gi:15832975	surface presentation of antigens protein SpaS	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	131142	131642	-	etrA	1-501/501	===============	0/0	100.00	100.00	ecoli_vf	gi:15832974	transcriptional regulator	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	132346	133080	+	eprH	1-735/735	===============	0/0	100.00	100.00	ecoli_vf	gi:15832973	EprH	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	133094	133333	+	eprI	1-240/240	===============	0/0	100.00	100.00	ecoli_vf	gi:15832972	EprI	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	133353	133685	+	eprJ	1-333/333	===============	0/0	100.00	100.00	ecoli_vf	gi:15832971	EprJ	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	133682	134416	+	eprK	1-735/735	===============	0/0	100.00	100.00	ecoli_vf	gi:15832970	EprK	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	134432	135013	+	orgA	1-582/582	===============	0/0	100.00	100.00	ecoli_vf	gi:15832969	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	135232	135663	+	orgB	1-432/432	===============	0/0	100.00	100.00	ecoli_vf	gi:15832967	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	135886	136518	+	ECs3712	1-633/633	===============	0/0	100.00	99.84	ecoli_vf	gi:15832966	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	136563	137040	-	b2854	1-477/477	========/======	1/1	100.00	94.35	ecoli_vf	SPG000125	Putative lytic transglycosylase Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	137510	138885	-	ygeH	1-1377/1377	========/======	1/1	99.93	99.93	ecoli_vf	gi:15832963	transcriptional regulator	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	139219	139710	-	ygeG	1-492/492	===============	0/0	100.00	100.00	ecoli_vf	gi:15832962	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	167042	167512	+	ppda	1-471/471	===============	0/0	100.00	100.00	ecoli_vf	SPG000131	Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	167503	168066	+	ppdb	1-564/564	===============	0/0	100.00	99.82	ecoli_vf	SPG000112	Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	168063	168470	+	ygdb	1-408/408	===============	0/0	100.00	100.00	ecoli_vf	SPG000137	Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000003.1	168455	168778	+	ppdc	1-324/324	===============	0/0	100.00	100.00	ecoli_vf	SPG000140	Pilin-like protein minor pilin or pseudopilin Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000004.1	40636	41874	-	hofq	1-1239/1239	===============	0/0	100.00	100.00	ecoli_vf	SPG000051	Outer membrane secretin Adherence Hemorrhagic coli pilus	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000004.1	197367	198395	-	chuS	1-1029/1029	===============	0/0	100.00	100.00	ecoli_vf	gi:15833633	hypothetical protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000004.1	198444	200426	-	chuA	1-1983/1983	===============	0/0	100.00	100.00	ecoli_vf	gi:291284872	outer membrane heme/hemoglobin receptor ChuA	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000004.1	201031	202023	+	chuT	1-993/993	===============	0/0	100.00	98.99	ecoli_vf	gi:218707131	putative periplasmic binding protein	
/home/chijioke/OHG_project/assembled_genome/GCA_041294885.1_ASM4129488v1_genomic.fna	JBEHBP010000004.1	202043	203380	+	chuW	1-1338/1338	===============	0/0	100.00	100.00	ecoli_vf	gi:15804047	coproporphyrinogen III oxidase	
