#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000013.1	67650	68882	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	87.35	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000042.1	1191	2437	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000042.1	7017	7673	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000047.1	165	647	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000047.1	713	1524	-	ant(3'')-Ia_1	161-972/972	..=============	0/0	83.54	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000047.1	1521	2321	-	blaOXA-10_1	1-801/801	===============	0/0	100.00	100.00	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000047.1	2586	3845	-	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.68	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000047.1	4166	4708	-	ARR-3_4	1-543/543	===============	0/0	100.00	99.82	resfinder	FM207631	ARR-3	
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000058.1	329	1144	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000061.1	1458	2252	+	aph(3')-IIa_2	1-795/795	===============	0/0	100.00	100.00	resfinder	V00618	aph(3')-IIa	
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000062.1	327	1540	-	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000103.1	1055	1711	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000103.1	6291	7537	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000104.1	1127	1669	+	ARR-3_4	1-543/543	===============	0/0	100.00	99.82	resfinder	FM207631	ARR-3	
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000104.1	1990	3249	+	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.68	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000104.1	3514	4314	+	blaOXA-10_1	1-801/801	===============	0/0	100.00	100.00	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000104.1	4311	5122	+	ant(3'')-Ia_1	161-972/972	..=============	0/0	83.54	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000104.1	5188	5670	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000105.1	1483	2298	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000106.1	1499	2293	+	aph(3')-IIa_2	1-795/795	===============	0/0	100.00	100.00	resfinder	V00618	aph(3')-IIa	
/home/chijioke/OHG_project/assembled_genome/GCA_032537745.1_PDT001815192.1_genomic.fna	DAQCTH010000107.1	937	2150	+	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
