#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000017.1	22402	23634	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.54	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000072.1	391	1266	-	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000072.1	4088	4948	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000072.1	5669	6505	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000072.1	6505	7308	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000072.1	7369	8184	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000122.1	181	663	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000124.1	636	1496	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000158.1	747	1403	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000222.1	3537	4352	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000222.1	4413	5216	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000222.1	5216	6052	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000223.1	637	1497	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000224.1	2575	3057	+	dfrA14_5	1-483/483	===============	0/0	100.00	99.59	resfinder	DQ388123	dfrA14	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000225.1	1705	2580	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000226.1	985	1845	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_012279675.1_PDT000280665.2_genomic.fna	AASCIU010000227.1	360	1016	+	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
