#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000021.1	53036	54268	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.46	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000046.1	845	2764	+	tet(M)_8	1-1920/1920	===============	0/0	100.00	96.15	resfinder	X04388	tet(M)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000046.1	4692	5493	-	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000046.1	5576	6835	-	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000046.1	7097	7898	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000046.1	8296	8793	-	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000054.1	5704	6516	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000065.1	1623	2869	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000067.1	1135	2348	-	floR_2	1-1214/1215	===============	0/0	99.92	98.11	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000069.1	329	1144	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000070.1	109	900	-	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000073.1	1027	1887	-	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000081.1	136	951	-	aph(3')-Ia_1	1-816/816	===============	0/0	100.00	100.00	resfinder	V00359	aph(3')-Ia	
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000105.1	5137	5634	+	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000105.1	6032	6833	+	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000105.1	7095	8354	+	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000106.1	456	1715	+	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000106.1	1798	2599	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000106.1	4527	6446	-	tet(M)_8	1-1920/1920	===============	0/0	100.00	96.15	resfinder	X04388	tet(M)	Doxycycline;Tetracycline;Minocycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000107.1	1019	2265	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000108.1	632	1444	+	blaNDM-5_1	1-813/813	===============	0/0	100.00	100.00	resfinder	JN104597	blaNDM-5	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000109.1	937	2150	+	floR_2	1-1214/1215	===============	0/0	99.92	98.11	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000110.1	1897	2712	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000111.1	2051	2842	+	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000112.1	1019	1879	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000113.1	75	935	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/home/chijioke/OHG_project/assembled_genome/GCA_026722305.1_PDT001515027.1_genomic.fna	DAKRYH010000114.1	126	941	+	aph(3')-Ia_1	1-816/816	===============	0/0	100.00	100.00	resfinder	V00359	aph(3')-Ia	
