sample_id,gene,product,drug_class,organism_group,location,isolation_source,isolation_type,bio_sample,collection_year,drug_class_group
GCA_011820555.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,USA,beef,environmental/other,SAMN13446263,2019,Unclassified
GCA_012203585.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207683,2018,Unclassified
GCA_012203705.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207668,2018,Unclassified
GCA_012203785.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207665,2018,Unclassified
GCA_012203825.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207731,2018,Unclassified
GCA_012203985.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Unclassified
GCA_012203985.1,aph(6)-Id_1,aph(6)-Id,Streptomycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Other
GCA_012203985.1,aph(3'')-Ib_5,aph(3'')-Ib,Streptomycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Other
GCA_012203985.1,sul2_3,sul2,Sulfamethoxazole,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Other
GCA_012203985.1,tet(A)_6,tet(A),Doxycycline,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Tetracyclines
GCA_012203985.1,tet(A)_6,tet(A),Tetracycline,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Tetracyclines
GCA_012203985.1,blaTEM-1B_1,blaTEM-1B,Amoxicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Beta-lactams
GCA_012203985.1,blaTEM-1B_1,blaTEM-1B,Ampicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Beta-lactams
GCA_012203985.1,blaTEM-1B_1,blaTEM-1B,Cephalothin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Beta-lactams
GCA_012203985.1,blaTEM-1B_1,blaTEM-1B,Piperacillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Beta-lactams
GCA_012203985.1,blaTEM-1B_1,blaTEM-1B,Ticarcillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Beta-lactams
GCA_012203985.1,dfrA8_1,dfrA8,Trimethoprim,E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,2018,Other
GCA_012279615.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Unclassified
GCA_012279615.1,dfrA17_1,dfrA17,Trimethoprim,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,aadA5_1,aadA5,Streptomycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,sul1_5,sul1,Sulfamethoxazole,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,mph(A)_2,mph(A),Erythromycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,mph(A)_2,mph(A),Azithromycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,mph(A)_2,mph(A),Spiramycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,mph(A)_2,mph(A),Telithromycin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Other
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Amoxicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Ampicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Aztreonam,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Cefepime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Cefotaxime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Ceftazidime,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Ceftriaxone,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Piperacillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,blaCTX-M-15_1,blaCTX-M-15,Ticarcillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Beta-lactams
GCA_012279615.1,tet(A)_6,tet(A),Doxycycline,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Tetracyclines
GCA_012279615.1,tet(A)_6,tet(A),Tetracycline,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Tetracyclines
GCA_012279615.1,aac(6')-Ib-cr_1,aac(6')-Ib-cr,Ciprofloxacin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,2018,Fluoroquinolones
GCA_012279675.1,mdf(A)_1,mdf(A),Unclassified,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Unclassified
GCA_012279675.1,blaCTX-M-15_1,blaCTX-M-15,Amoxicillin,E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,2018,Beta-lactams
