#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000002.1	83624	84615	-	rpoS	2-993/993	========/======	2/2	99.80	92.85	vfdb	NP_461845	(rpoS) RNA polymerase sigma factor RpoS [RpoS (VF0112) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	4091	5740	+	espL2	1-1650/1650	===============	0/0	100.00	99.76	vfdb	WP_001121629	(espL2) Type III secretion system secreted effector EspL2 cysteine protease [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	6348	7337	+	nleB1	1-990/990	===============	0/0	100.00	99.70	vfdb	WP_000953022	(nleB1) Type III secretion system effector nleB1 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	7386	8060	+	nleE	1-675/675	===============	0/0	100.00	100.00	vfdb	WP_000609742	(nleE) Type III secretion system effector NleE [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	9938	19609	+	lifA/efa1	1-9672/9672	===============	0/0	100.00	98.72	vfdb	WP_001239082	(lifA/efa1) lymphostatin Efa1/LifA [Lymphostatin/LifA (VF0175) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	20553	21167	-	espF	1-615/747	=============..	0/0	82.33	83.25	vfdb	WP_000931693	(espF) Type III secretion system effector EspF [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	21398	21661	-	escG	1-264/279	===============	0/0	94.62	90.91	vfdb	WP_000245816	(escG) chaperone for EscF [TTSS (VF0191) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	21667	21888	-	escF	1-222/222	===============	0/0	100.00	96.85	vfdb	WP_001053840	(escF) Type III secretion system needle filament protein EscF [TTSS (VF0191) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	21926	22332	-	cesD2	1-407/408	===============	0/0	99.75	97.05	vfdb	WP_000228584	(cesD2) chaperone for EspD [TTSS (VF0172) - Effector delivery system (VFC0086)] [Escherichia coli O127:H6 str. E2348/69]	
/home/chijioke/OHG_project/assembled_genome/GCA_044996015.1_PDT002079658.1_genomic.fna	DBBUCZ010000003.1	23304	24446	-	espD	1-1143/1143	===============	0/0	100.00	89.33	vfdb	WP_000935757	(espD) Type III secretion system translocator protein EspD pore protein [TTSS (VF0172) - Effector delivery system (VFC0086)] [Escherichia coli O127:H6 str. E2348/69]	
