#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000013.1	26417	27649	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000072.1	28	843	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000072.1	1005	1865	-	blaTEM-1A_1	1-861/861	===============	0/0	100.00	100.00	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000075.1	1134	2285	+	tet(X)_1	16-1167/1167	===============	0/0	98.71	95.31	resfinder	GU014535	tet(X)	Doxycycline;Tetracycline;Minocycline;Tigecycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000076.1	794	1606	+	aadA2_1	7-819/819	===============	0/0	99.27	99.88	resfinder	NC_010870	aadA2	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000076.1	1738	2497	+	lnu(F)_1	1-760/822	==============.	0/0	92.46	100.00	resfinder	EU118119	lnu(F)	Lincomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000077.1	1	1055	+	tet(A)_6	221-1275/1275	..=============	0/0	82.75	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000079.1	374	1210	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000079.1	1210	2013	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000090.1	97	753	-	qnrS1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	AB187515	qnrS1	Ciprofloxacin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000112.1	1034	1894	+	blaTEM-1A_1	1-861/861	===============	0/0	100.00	100.00	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/home/chijioke/OHG_project/assembled_genome/GCA_018295725.1_PDT001018833.1_genomic.fna	DAEAXI010000112.1	2056	2871	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
